Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 1/1000 — loss: 0.0435, val MAE: 0.1362
Epoch 2/1000 — loss: 0.0282, val MAE: 0.1075
Epoch 3/1000 — loss: 0.0206, val MAE: 0.0901
Epoch 4/1000 — loss: 0.0165, val MAE: 0.0917
Epoch 5/1000 — loss: 0.0136, val MAE: 0.0756

Probe: first_half=0.1219, second_half=0.0858, improvement=29.60%
PROMISING: 29.60% improvement. Full training.

=== PHASE 2: FULL TRAINING (995 more epochs) ===
Epoch 6/1000 — loss: 0.0110, val MAE: 0.0792
Epoch 7/1000 — loss: 0.0118, val MAE: 0.0741
Epoch 8/1000 — loss: 0.0096, val MAE: 0.0784
Epoch 9/1000 — loss: 0.0088, val MAE: 0.0676
Epoch 10/1000 — loss: 0.0084, val MAE: 0.0596
Epoch 11/1000 — loss: 0.0074, val MAE: 0.0556
Epoch 12/1000 — loss: 0.0072, val MAE: 0.0536
Epoch 13/1000 — loss: 0.0076, val MAE: 0.0609
Epoch 14/1000 — loss: 0.0077, val MAE: 0.0525
Epoch 15/1000 — loss: 0.0071, val MAE: 0.0559
Epoch 16/1000 — loss: 0.0063, val MAE: 0.0574
Epoch 17/1000 — loss: 0.0064, val MAE: 0.0500
Epoch 18/1000 — loss: 0.0063, val MAE: 0.0503
Epoch 19/1000 — loss: 0.0055, val MAE: 0.0432
Epoch 20/1000 — loss: 0.0058, val MAE: 0.0462
Epoch 21/1000 — loss: 0.0065, val MAE: 0.0499
Epoch 22/1000 — loss: 0.0055, val MAE: 0.0465
Epoch 23/1000 — loss: 0.0053, val MAE: 0.0409
Epoch 24/1000 — loss: 0.0048, val MAE: 0.0490
Epoch 25/1000 — loss: 0.0061, val MAE: 0.0487
Epoch 26/1000 — loss: 0.0058, val MAE: 0.0476
Epoch 27/1000 — loss: 0.0059, val MAE: 0.0478
Epoch 28/1000 — loss: 0.0050, val MAE: 0.0399
Epoch 29/1000 — loss: 0.0049, val MAE: 0.0458
Epoch 30/1000 — loss: 0.0048, val MAE: 0.0395
Epoch 31/1000 — loss: 0.0052, val MAE: 0.0402
Epoch 32/1000 — loss: 0.0042, val MAE: 0.0356
Epoch 33/1000 — loss: 0.0037, val MAE: 0.0393
Epoch 34/1000 — loss: 0.0051, val MAE: 0.0538
Epoch 35/1000 — loss: 0.0059, val MAE: 0.0456
Epoch 36/1000 — loss: 0.0053, val MAE: 0.0397
Epoch 37/1000 — loss: 0.0039, val MAE: 0.0439
Epoch 38/1000 — loss: 0.0042, val MAE: 0.0396
Epoch 39/1000 — loss: 0.0039, val MAE: 0.0342
Epoch 40/1000 — loss: 0.0040, val MAE: 0.0364
Epoch 41/1000 — loss: 0.0042, val MAE: 0.0398
Epoch 42/1000 — loss: 0.0043, val MAE: 0.0375
Epoch 43/1000 — loss: 0.0053, val MAE: 0.0422
Epoch 44/1000 — loss: 0.0044, val MAE: 0.0346
Epoch 45/1000 — loss: 0.0039, val MAE: 0.0317
Epoch 46/1000 — loss: 0.0034, val MAE: 0.0415
Epoch 47/1000 — loss: 0.0040, val MAE: 0.0370
Epoch 48/1000 — loss: 0.0044, val MAE: 0.0374
Epoch 49/1000 — loss: 0.0041, val MAE: 0.0412
Epoch 50/1000 — loss: 0.0044, val MAE: 0.0308
Epoch 51/1000 — loss: 0.0035, val MAE: 0.0311
Epoch 52/1000 — loss: 0.0038, val MAE: 0.0390
Epoch 53/1000 — loss: 0.0047, val MAE: 0.0390
Epoch 54/1000 — loss: 0.0041, val MAE: 0.0362
Epoch 55/1000 — loss: 0.0039, val MAE: 0.0386
Epoch 56/1000 — loss: 0.0044, val MAE: 0.0327
Epoch 57/1000 — loss: 0.0040, val MAE: 0.0327
Epoch 58/1000 — loss: 0.0039, val MAE: 0.0340
Epoch 59/1000 — loss: 0.0041, val MAE: 0.0380
Epoch 60/1000 — loss: 0.0032, val MAE: 0.0316
Epoch 61/1000 — loss: 0.0040, val MAE: 0.0361
Epoch 62/1000 — loss: 0.0036, val MAE: 0.0302
Epoch 63/1000 — loss: 0.0031, val MAE: 0.0285
Epoch 64/1000 — loss: 0.0028, val MAE: 0.0290
Epoch 65/1000 — loss: 0.0031, val MAE: 0.0289
Epoch 66/1000 — loss: 0.0038, val MAE: 0.0286
Epoch 67/1000 — loss: 0.0028, val MAE: 0.0282
Epoch 68/1000 — loss: 0.0028, val MAE: 0.0250
Epoch 69/1000 — loss: 0.0029, val MAE: 0.0263
Epoch 70/1000 — loss: 0.0029, val MAE: 0.0275
Epoch 71/1000 — loss: 0.0040, val MAE: 0.0359
Epoch 72/1000 — loss: 0.0043, val MAE: 0.0365
Epoch 73/1000 — loss: 0.0038, val MAE: 0.0275
Epoch 74/1000 — loss: 0.0034, val MAE: 0.0296
Epoch 75/1000 — loss: 0.0033, val MAE: 0.0288
Epoch 76/1000 — loss: 0.0033, val MAE: 0.0297
Epoch 77/1000 — loss: 0.0029, val MAE: 0.0299
